,name,rating,ctype,highly_rated,hq,reviews_K,no_of_employees,desc
0,TCS,3.8,IT Services & Consulting ,"Job Security, Work Life Balance", Mumbai ,74.4, 1 Lakh+ ,"Tata Consultancy Services is an IT services, consulting and business solutions organization that has been partnering with many of the world’s largest businesses for the past 50 years. We believe innovation and collective knowledge can transform all our futures with greater purpose."
1,Accenture,4.0,IT Services & Consulting ,"Company Culture, Skill Development / Learning, Job Security", Dublin ,47.2, 1 Lakh+ ,"Accenture is a global professional services company with leading capabilities in digital, cloud, and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology, and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. 

Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners, and communities. Visit us at accenture.com."
2,Cognizant,3.9,IT Services & Consulting ,Skill Development / Learning, Teaneck. New Jersey. ,42.5, 1 Lakh+ ,"At Cognizant, we give organizations the insights to anticipate what customers want and act instantly to deliver on those demands. So they can achieve the goal of every modern business: staying one step ahead of a fast-changing world."
3,Wipro,3.8,IT Services & Consulting ,Job Security, Bangalore/Bengaluru ,40.0, 1 Lakh+ ,"Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading global information technology, consulting, and business process services company.

We harness the power of cognitive computing, hyper-automation, robotics, cloud, analytics, and emerging technologies to help our clients adapt to the digital world and make them successful.

A company recognized globally for its comprehensive portfolio of services, a strong commitment to sustainability, and good corporate citizenship, we have over 243,000 dedicated employees serving clients across six continents.

Together, we discover ideas and connect the dots to build a better and bold new future."
4,Capgemini,3.9,IT Services & Consulting ,"Job Security, Work Life Balance, Skill Development / Learning", Paris ,34.6, 1 Lakh+ ,"Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, cloud and data, combined with its deep industry expertise and partner ecosystem. The Group reported 2023 global revenues of €22.5 billion. Capgemini in India comprises nearly 175,000 team members working across 13 locations: Bangalore, Bhubaneswar, Chennai, Coimbatore, Gandhinagar, Gurugram, Hyderabad, Kolkata, Mumbai, Noida, Pune, Salem and Tiruchirappalli. Get The Future You Want | Learn more about Capgemini in India at www.capgemini.com/in-en. "
5,HDFC Bank,4.0,Banking ,"Job Security, Skill Development / Learning", Mumbai ,34.4, 1 Lakh+ ,"The Housing Development Finance Corporation Limited or HDFC was among the first financial institutions in India to receive an “in principle” approval from the Reserve Bank of India (RBI) to set up a bank in the private sector. This was done as part of RBI’s policy for the liberalization of the Indian banking industry in 1994. HDFC Bank was incorporated in August 1994 in the name of HDFC Bank Limited, with its registered office in Mumbai, India. The bank commenced operations as a Scheduled Commercial Bank in January 1995. As of March 31, 2021, the Bank had a nationwide distribution network of 5,608 branches and 16,087 ATMs in 2,902 cities/towns."
6,ICICI Bank,4.0,Banking ,"Job Security, Skill Development / Learning, Company Culture", Mumbai ,34.0, 1 Lakh+ ,"The Bank continue to achieve profitable growth in its business, strengthen its franchise and invest in building capabilities for the future. The Bank continued to grow its core operating profit less provisions led by a 360º customer-centric approach and exploring opportunities across ecosystems and micromarkets, within the guardrails of compliance and risk management. The Bank’s efforts towards building a sustainable business continued to be anchored by the principles of 'Return of Capital', 'Fair to Customer, Fair to Bank' and 'One Bank, One Team, One ROE'.The Bank has further sharpened its approach to enhance relationship management across markets using Virtual Relationship Management (VRM). VRM is a cloud-based AI-powered platform providing a one-stop ecosystem for robust relationship building with customers and thereby improving the efficiency of relationship managers. The platform helps in relevant and meaningful customer interaction with the help of service and solution-based engagement.As our customer engagement deepened, the Bank aimed to further enhance digital delivery of products and services, offering comprehensive banking solutions with a sharp focus on efficiency and risks. As our customer engagement deepened, the Bank aimed to further enhance digital delivery of products and services, offering comprehensive banking solutions with a sharp focus on efficiency and risks. With a focus on responsible and sustainable growth, the Bank continuously endeavours to maintain effective governance, a strong risk culture and robust enterprise risk management framework."
7,Infosys,3.8,IT Services & Consulting ,"Job Security, Company Culture, Skill Development / Learning", Bengaluru/Bangalore ,32.4, 1 Lakh+ ,"Infosys is a global leader in next-generation digital services and consulting. Over 300,000 of our people work to amplify human potential and create the next opportunity for people, businesses, and communities. We enable clients in more than 56 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer clients, as they navigate their digital transformation powered by cloud and AI. We enable them with an AI-first core, empower the business with agile digital at scale and drive continuous improvement with always-on learning through the transfer of digital skills, expertise, and ideas from our innovation ecosystem. We are deeply committed to being a well-governed, environmentally sustainable organization where diverse talent thrives in an inclusive workplace. Visit www.infosys.com to see how Infosys (NSE, BSE, NYSE: INFY) can help your enterprise navigate your next."
8,HCLTech,3.7,IT Services & Consulting ,Job Security, Noida ,29.1, 1 Lakh+ ,"HCLTech is a global technology company, home to 224,756+ people across 60 countries, delivering industry-leading capabilities centered around digital, engineering, cloud and AI powered by a broad portfolio of technology services and products. We work with clients across all major verticals, providing industry solutions for Financial Services, Manufacturing, Life Sciences and Healthcare, Technology and Services, Telecom and Media, Retail and CPG, and Public Services.Our purpose is to bring together the best of technology and our people to supercharge progress. We’re supercharging progress for everyone, everywhere – our clients, partners and their stakeholders, our people, communities, and the planet.Part of the HCL group, HCLTech was listed on the stock exchanges in India at the turn of the millennium in December 1999. Since our inception, we have pioneered several industry mainstays and established leadership positions in all our chosen segments.As a company, we are deeply focused on accelerating our ESG agenda. We are also creating technology-enabled sustainable solutions with and for our clients and partners. We embed ESG imperatives into every aspect of our business and ensure that the progress we supercharge is responsible, inclusive and beneficial to all our stakeholders in the long term. We have committed to achieving net zero by 2040.We recognize the impact that a business like ours can deliver in elevating communities globally, and we continue to improve our efforts and take decisive actions that benefit the communities in which we work and live. Through the HCL Foundation, the CSR arm of HCLTech, we have invested more than $130 million in social development efforts serving communities throughout India across education, health, water, sanitation and hygiene, skill development and livelihoods, environment, and disaster risk reduction, response and management.We’re powered by our people – a global, diverse, multi-generational talent - representing 161 nationalities whose unique spark, perspective and boundless passion drive our culture of proactive value creation and problem-solving.Consolidated revenues as of 12 months ending December 2023 totaled $13.1 billion. To learn how we can supercharge progress for you, visit hcltech.comWhy join us:In 1976, there were only 250 computers in India. It was then that Shiv Nadar, the founder of HCL, led a team of eight young people who passionately believed in the power of information technology. From that vision, grew a global enterprise that redefined the Indian IT industry.Today, HCLTech (which spun off as a separate unit in 1991) is one of the leading IT service providers worldwide. But while we may be a globally recognized leader in the tech and IT industry, we’ve never forgotten the start-up mindset that got us here.We’ve always approached our work with an idea-first attitude because every one of our accomplishments—no matter how big or small—can be traced back to an idea’s single spark.It’s that spark—that inner drive—that sets our people apart from our competitors. It enables us not just to pull off game-changing feat after game-changing feat but to better our world in the process.At HCLTech, you’ll supercharge your potential.    - You’ll find your career.- And you’ll find your spark.- All at a place that knows that helping its customers stay on top starts by putting its people first.We offer:•    career opportunities on your terms•    enriching job experiences•    an employment that you can trust in•    a diverse, international culture that values your whole selfWe have been recognized as a Global Top Employer by the Top Employers Institute for the second time in a row for outstanding HR policies and best practices worldwide. We have also been certified as a Top Employer in 26 countries across three regions, Asia Pacific, Europe & Africa and North America. Out of the 26 countries, HCLTech is ranked number one in 15 countries, including India.These accolades demonstrate our commitment to fostering a work environment with an innovative and a progressive work culture.Find your spark with career opportunities at HCLTech. Visit: www.hcltech.com/careers/Careers-in-india"
9,Tech Mahindra,3.7,IT Services & Consulting ,"Promotions / Appraisal, Salary & Benefits", Pune ,28.1, 1 Lakh+ ,"Tech Mahindra offers innovative and customer-centric digital experiences, enabling enterprises, associates, and society to rise. We are a USD 5.1 billion organization with 141,100+ professionals across 90 countries helping 1123 global customers, including Fortune 500 companies. 

We are focused on leveraging next-generation technologies including 5G, Blockchain, Cybersecurity, Artificial Intelligence, and more, to enable end-to-end digital transformation for global customers. Tech Mahindra is one of the fastest-growing brands and amongst the top 15 IT service providers globally. 

Tech Mahindra has consistently emerged as a leader in sustainability and is recognized amongst the ‘2021 Global 100 Most sustainable corporations in the World’ by Corporate Knights. With the NXT.NOW™ framework, Tech Mahindra aims to enhance ‘Human Centric Experience’ for our ecosystem and drive collaborative disruption with synergies arising from a robust portfolio of companies. 

Tech Mahindra aims at delivering tomorrow’s experiences today and believes that the ‘Future is Now.

We are part of the Mahindra Group, founded in 1945, one of the largest and most admired multinational federations of companies with 260,000 employees in over 100 countries. It enjoys a leadership position in farm equipment, utility vehicles, information technology, and financial services in India and is the world’s largest tractor company by volume. It has a strong presence in renewable energy, agriculture, logistics, hospitality, and real estate. 

The Mahindra Group has a clear focus on leading ESG globally, enabling rural prosperity and enhancing urban living, with a goal to drive positive change in the lives of communities and stakeholders to enable them to rise."
